example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.27231 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.00923 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.00961 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.00753 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.0294 seconds  |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.01058 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.01033 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.00979 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.01129 seconds |
./spec/features/calculations_spec.rb[10:1] | passed | 0.01004 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.00735 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00754 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00747 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.0073 seconds  |
./spec/features/calculations_spec.rb[15:1] | passed | 0.01753 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.00823 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.01711 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.06367 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.01098 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.00821 seconds |
./spec/features/calculations_spec.rb[21:1] | passed | 0.0087 seconds  |
./spec/features/calculations_spec.rb[22:1] | passed | 0.00793 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.00854 seconds |
./spec/features/calculations_spec.rb[24:1] | passed | 0.01796 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.00841 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.01838 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.01863 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.01102 seconds |
./spec/features/calculations_spec.rb[29:1] | passed | 0.0086 seconds  |
./spec/features/calculations_spec.rb[30:1] | passed | 0.00899 seconds |
./spec/features/calculations_spec.rb[31:1] | passed | 0.0091 seconds  |
./spec/features/calculations_spec.rb[32:1] | passed | 0.00993 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.00918 seconds |
./spec/features/calculations_spec.rb[34:1] | passed | 0.01039 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.0583 seconds  |
./spec/features/calculations_spec.rb[36:1] | passed | 0.01284 seconds |
./spec/features/calculations_spec.rb[37:1] | passed | 0.03721 seconds |
./spec/features/calculations_spec.rb[38:1] | passed | 0.04294 seconds |
./spec/features/calculations_spec.rb[39:1] | passed | 0.04669 seconds |
./spec/features/calculations_spec.rb[40:1] | passed | 0.0475 seconds  |
./spec/features/calculations_spec.rb[41:1] | passed | 0.04804 seconds |
./spec/features/calculations_spec.rb[42:1] | passed | 0.01061 seconds |
./spec/features/calculations_spec.rb[43:1] | passed | 0.00745 seconds |
./spec/features/calculations_spec.rb[44:1] | passed | 0.00737 seconds |
./spec/features/calculations_spec.rb[45:1] | passed | 0.00771 seconds |
./spec/features/calculations_spec.rb[46:1] | passed | 0.00848 seconds |
./spec/features/calculations_spec.rb[47:1] | passed | 0.00722 seconds |
./spec/features/calculations_spec.rb[48:1] | passed | 0.02221 seconds |
./spec/features/calculations_spec.rb[49:1] | passed | 0.00957 seconds |
./spec/features/calculations_spec.rb[50:1] | passed | 0.08428 seconds |
